Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Trung N.D.; Huy D.T.N.; Chetthamrongchai P.; Mohsen K.S.; Iskandar A.S.; Nurjaya A.; Sunarsi D.; Singh K.; Chupradit S.,"Trung, Nguyen Dinh (57347739900); Huy, Dinh Tran Ngoc (36951633200); Chetthamrongchai, Paitoon (6504732902); Mohsen, Karrar Shareef (57209248066); Iskandar, Ahmad Syarief (57381456200); Nurjaya, A. (58020772000); Sunarsi, Denok (57216789555); Singh, Krishanveer (57211781237); Chupradit, Supat (57211329338)",57347739900; 36951633200; 6504732902; 57209248066; 57381456200; 58020772000; 57216789555; 57211781237; 57211329338,Optimizing the Interaction Between Two Closed-Loop Supply Chains Based on Inverse Logistics Using the Game Theory Method,2022,Foundations of Computing and Decision Sciences,47,4,,455,467,12,0,10.2478/fcds-2022-0025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144205668&doi=10.2478%2ffcds-2022-0025&partnerID=40&md5=85acb4d20322c3b4cfb3d5aa9fa964ea,"Over the past few years, attention to environmental problems, legal necessities, and economic advantages emerging from reproduction activities has attracted attention to reverse logistics activities in the form of a closed-loop supply chain, whether in industry or scientific research. The current study aims to model competitiveness and comparison between two closed-loop three-level supply chains, each of which includes a manufacturer, a retailer, and a third party to collect the products used by the customer, taking into account the concepts of game theory and the existence of aggregates. Moreover, a separate supplier for each chain is considered. In the forward supply chain, the manufacturer produces new products using new components or re-used products that have been collected from the consumer, then sells these products mainly to the retailer, and the retailer sells them. In the reverse chain, the collector provides the used products to the manufacturer after collection. The study utilized the definitions and concepts of game theory to model this closed loop chain as a Stackelberg game to obtain the optimal value of wholesale and retail price and the optimal value of the product return coefficient for the collector. Finally, the models based on some numerical examples are solved. Given the results, the remanufacturing costs have a significant role in making more profits for all members in such chains, and competitive chains should attempt to remanufacture the products at lower costs.  © 2022 Nguyen Dinh Trung et al., published by Sciendo.",Closed-loop supply chain; game theory; out-of-chain competition; reverse logistics; Stackelberg game,Cell proliferation; Environmental regulations; Inverse problems; Linear matrix inequalities; Optimal systems; Sales; Supply chains; Closed-loop; Closed-loop supply chain; Economic advantages; Environmental problems; Industry research; Optimal values; Out-of-chain competition; Reverse logistics; Stackelberg Games; Used product; Game theory,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85144205668
Thomas L.,"Thomas, Luisa (7403527708)",7403527708,Virtual Try-Before-You-Buy: The Impact of Virtual Try-ons on Consumer Purchases: An Abstract,2023,Developments in Marketing Science: Proceedings of the Academy of Marketing Science,,,,113,114,1,0,10.1007/978-3-031-24687-6_45,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151236694&doi=10.1007%2f978-3-031-24687-6_45&partnerID=40&md5=977dbd2c20d2e3f84a115e8965d06e88,"The rise of digital technologies and online business models has fundamentally changed the shopping environment. In line with e-commerce growth, product returns increased to double-digit percentages, constituting a risk for the retailer’s profitability. The main cause lies within product uncertainty, as consumers cannot physically assess and try on products. Previous research differentiates between product quality and fit uncertainty, where the latter has a stronger effect on product returns. To counteract, retailers can implement signals to convey additional product information. While quality-inferring signals, such as brands, have been studied extensively, little is known about signals supporting product fit. We research a technology specifically designed to reduce fit uncertainty, namely virtual try-ons (VTOs), exploring how their usage impacts consumer purchase behavior, especially sales and returns, considering different product types. The analysis is based on a unique clickstream and customer transaction dataset from a European e-commerce retailer comprising over 1.3 million purchases in 2020. Results indicate that the usage of VTOs increases sales, in particular order value, the number of items per order, average selling prices, and contribution margins, as well as reduces returns. These relationships are fortified for hedonic vs. utilitarian goods. We validate previously posed hypotheses that interactive technologies perform better in serving retailers’ desired outcomes than static decision aids, indicating that these provide superior product fit information, function as a signal, and hence reduce online product uncertainty more effectively. We are among the firsts to analyze the influence of try-on technology usage on purchasing behavior and extend Expectation-Disconfirmation and Signaling theory to the digital marketing context. Moreover, we contribute methodologically by analyzing large-scale data, adding realism to technology usage studies, which primarily leverage purchase intentions and laboratory settings. Further, marketers can gain a better understanding of customer interactions with a new technology that promotes beneficial top-and bottom-line implications. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Consumer purchasing behavior; E-commerce; Product uncertainty; Virtual try-on,,Book chapter,Final,,Scopus,2-s2.0-85151236694
Shu X.; Hu Z.,"Shu, Xinggang (58033251400); Hu, Zhenhua (58033251500)",58033251400; 58033251500,Pricing and Return Strategy Selection of Online Retailers Considering Consumer Purchasing Behavior,2022,Processes,10,12,2490,,,,0,10.3390/pr10122490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144851926&doi=10.3390%2fpr10122490&partnerID=40&md5=e9cf04ff2fe9afe12509618e57f5e3f9,"This article mainly considers the coexistence of physical sales channels and online sales channels. Online retailers with online sales channels consider whether to provide return policies and whether to provide consumers with return insurance. The research established four return strategy models that: do not provide returns; provide returns but do not provide return insurance; provide return insurance, but the cost is borne by online retailers; and provide return insurance, but the cost is borne by consumers. The authors then studied the online retailers’ optimal return and shipping insurance selection strategies. The results show that when the proportion of residual return value after the value reduction of unit returned products was large, online retailers set higher sales prices and provided return policies, while offline retailers needed to reduce sales prices in order to attract more consumers. When the consumer unit product return compensation was relatively large, online retailers chose to provide consumers with free return insurance; otherwise, it was more beneficial for online retailers not to provide return insurance. Further research found that although the cost of online retailers increased when freight insurance was taken, it could better attract consumers, which was more beneficial to online retailers. © 2022 by the authors.",consumer purchase behavior; online retailer; return insurance; return strategy,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85144851926
Fernando Y.; Ahmad Jasmi M.F.; Wahyuni-TD I.S.; Mergeresa F.; Khamis K.A.; Fakhrorazi A.; Omar R.,"Fernando, Yudi (26664524300); Ahmad Jasmi, Muhamad Fairuz (57657917900); Wahyuni-TD, Ika Sari (57060524800); Mergeresa, Fineke (57221269664); Khamis, Kamarul Azman (57216221803); Fakhrorazi, A. (57210596462); Omar, Rusdi (55879758500)",26664524300; 57657917900; 57060524800; 57221269664; 57216221803; 57210596462; 55879758500,Supply chain integration and halal frozen meat product returns,2023,Journal of Islamic Marketing,14,5,,1369,1395,26,3,10.1108/JIMA-05-2021-0144,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129226144&doi=10.1108%2fJIMA-05-2021-0144&partnerID=40&md5=a7511bc521a5455f104feb521650b184,"Purpose: Halal frozen meat product returns are major challenges in the halal frozen meat supply chain because of the sheer volume and processing costs of returns. The purpose of this paper is to investigate the effect of integrated halal supply chain (IHSC) strategies on effective product returns with halal logistics (HL) as an interceding variable. Design/methodology/approach: This paper used the cross-sectional technique to select samples from a population that revolved around the halal food industry in Malaysia. Data collected from halal service providers who handle halal frozen meat product returns provided insightful findings. Findings: The findings of this paper indicate that the IHSC dimensions, such as interactive fairness, procedural fairness and service coverage, are positively associated with effective product returns. It also shows that HL plays a mediating role between the IHSC and effective product returns. Practical implications: From a practical viewpoint, this paper suggests that an effective return service system can be designed to emphasise the category of interactive and flexible justice services through refunds or product replacement, depending on customer's demand. Originality/value: The result of this paper provides insights into how logistics service provider managers effectively and efficiently handle the halal supply chain network when involving product returns. © 2022, Emerald Publishing Limited.",Frozen meat; Halal integration; Halal logistics; Halal supply chain; Product returns,,Article,Final,,Scopus,2-s2.0-85129226144
Guo Q.; Zhao P.; Cheng S.; Ahmed M.,"Guo, Qiang (56390923300); Zhao, Pengfei (57216782370); Cheng, Shengyan (58061258800); Ahmed, Mansoora (57201813688)",56390923300; 57216782370; 58061258800; 57201813688,Two-period price competition of second-hand product platforms with or without blockchain under different supply and demand levels,2023,Computers and Industrial Engineering,178,,109131,,,,0,10.1016/j.cie.2023.109131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150855485&doi=10.1016%2fj.cie.2023.109131&partnerID=40&md5=d5025993d41a67e9e99f6d8c721011e6,"Consumers who buy products from second-hand platforms are troubled because they cannot observe the real quality. Moreover, the absence of after-sales service and no-hassle return policies also lead to the moral hazard of platforms. We introduce blockchain as a quality disclosure technology. Consider two periods of price competition between two platforms with or without blockchain at different supply and demand levels. We find the Matthew effect of whether or not to use blockchain is evident, with the pros and cons accumulating over time. However, the platform without blockchain is not always a loser, even if it is just a follower or myopic decision-maker, related to critical factors such as supply and demand level, platform differentiation, the strength of network effects. In addition, blockchain benefits (quality disclosure perceived by consumers) and conversion benefits (platform options perceived by individual suppliers) contribute positively to the market equilibrium amounts of the blockchain platform in most supply and demand scenarios but are uncertain for the normal platform. © 2023",Blockchain; Demand levels; Different supply; Platform competition; Pricing; Second-hand products,Blockchain; Costs; Decision making; Risk management; After-sales services; Block-chain; Demand level; Different supply; Moral hazard; Platform competition; Price competition; Product platforms; Return policy; Second-hand product; Competition,Article,Final,,Scopus,2-s2.0-85150855485
Alaei A.M.; Rasti-Barzoki M.; Altmann J.; Egger B.,"Alaei, Amir Mohammad (57218910509); Rasti-Barzoki, Morteza (56487925000); Altmann, Jörn (7006188631); Egger, Bernhard (17345804800)",57218910509; 56487925000; 7006188631; 17345804800,A Game-Theoretic Approach for Pricing and Determining Virtual Reality Investment and Cybersecurity Level in a Dual-Channel Supply Chain,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),13430 LNCS,,,62,71,9,0,10.1007/978-3-031-29315-3_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152560679&doi=10.1007%2f978-3-031-29315-3_6&partnerID=40&md5=345798f94013ffdff94247c436578e54,"Virtual reality has become a new option to inform the customers about product before purchasing. However, providing virtual reality may create new challenges. For instance, consumers may obtain essential information about products by using virtual reality option, but eventually they buy their products from the offline channel. This phenomenon is called webrooming. Another challenge is cyber-attacks. E-tailers and their consumers face risks from cyber-attacks. Thus, e-tailers are investing to improve cybersecurity. We consider a dual-channel supply chain consisting of an offline retailer and an e-tailer who purchase the same product from a manufacturer at the same wholesale price. The e-tailer offers a partial refund policy in order to attract the customers. Also, to reduce consumer valuation uncertainty, the e-tailer faces the decision on whether to introduce virtual reality. We analyze three scenarios. Firstly, the e-tailer does not offer virtual reality. Secondly, the e-tailer offers virtual reality, but he does not invest on cybersecurity. Thirdly, the e-tailer offers virtual reality and invests on cybersecurity. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Cybersecurity; Game theory; Pricing; Return policy; Virtual reality; Webrooming,Computer crime; Costs; Crime; Cybersecurity; Network security; Sales; Supply chains; Virtual reality; Cyber security; Cyber-attacks; Dual-channel supply chains; E-tailers; Game-theoretic; New options; Offline channel; Offline retailers; Return policy; Webrooming; Game theory,Conference paper,Final,,Scopus,2-s2.0-85152560679
Zhao W.; Bin Osman L.H.,"Zhao, Wenjuan (58197248700); Bin Osman, Lokhman Hakim (58196954600)",58197248700; 58196954600,A SYSTEMATIC REVIEW OF THE USE OF ORGANISATIONAL AND MANAGEMENT THEORIES IN REVERSE LOGISTICS STUDIES,2023,Logforum,19,1,,141,154,13,0,10.17270/J.LOG.2023.818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153595190&doi=10.17270%2fJ.LOG.2023.818&partnerID=40&md5=139a1cd767fb555ef121178be2da795b,"Background: Reverse logistics studies have received increasing attention in academic, organisational, and management research. Researchers have contributed to this field by borrowing theories from sustainable business research. However, there is a lack of literature reviewing the development and contribution of reverse logistics studies in organisational and management theories. By identifying the most frequently used management theories, this paper fills the gap and describes the theoretical contribution of reverse logistics papers to organisational and management theories. Methods: Using the vote-counting technique, this article reviews 122 papers published between 2005 and 2021 to assess how organisational and management theories developed in the studies of reverse logistics. Results: The analysis indicates that, while some, such as triple bottom line and critical success factors, have been frequently employed, the relation between reverse logistics and sustainability and other organisational theories remain undeveloped. It also discovered that the research topics only focused on product and material recycling, but few on product return and exchange logistics. Conclusions: First, there is a huge gap in organisational and management theories and reverse logistics studies. It is suggested that scholars involved in reverse logistics studies can explore more connections between reverse logistics strategies and management theories in future research. Second, more theories should be used in addition to triple bottom line and critical success factors in reverse logistics research. Furthermore, although some incorporated other factors into the management theories and developed a framework after examining their interrelationship, little contribution has been made to the theories themselves. Additionally, more discussion of reverse logistics in the field can focus on product return and exchange logistics. © Wyższa Szkoła Logistyki, Poznań, Polska.",organisational and management theories; reverse logistics; sustainability; systematic literature review; theories development,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85153595190
Butt A.S.; Ali I.; Govindan K.,"Butt, Atif Saleem (57204764961); Ali, Imran (57195317471); Govindan, Kannan (54986334000)",57204764961; 57195317471; 54986334000,The role of reverse logistics in a circular economy for achieving sustainable development goals: a multiple case study of retail firms,2023,Production Planning and Control,,,,,,,1,10.1080/09537287.2023.2197851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152413166&doi=10.1080%2f09537287.2023.2197851&partnerID=40&md5=d9758cbcc1c3beb4fe7df2e3a25d4e7d,"Contemporary business models need to re-imagine the production and distribution of goods and services embedding social, economic, and environmental goals concurrently. To this end, reverse logistics in streamlining a circular economy (take, make, use, reuse, repair, and recycle) catapulted to the top of the discussion for collecting and distributing products. Yet, little is empirically known about the role of reverse logistics in the circular economy. This study attempts to fill this knowledge gap in theory and practice through a multiple case study approach including 40 semi-structured interviews with reverse logistics specialists from the four largest retailing firms in the United Arab Emirates (UAE). Findings reveal multiple ways by which reverse logistics contributes to a circular economy: for instance, reverse logistics enables firms to develop a circular product design; the combination of reverse flow with the forward flow consolidates the high volume of products, thus mitigating waste; use of innovative tools (robots, autonomous bikes) in reverse logistics increases the used products’ return rate and thereby enhancing recycling; technological advances (e.g. big data and IoT) in reverse logistics help trace the product thus reducing waste. The paper offers several valuable insights for practitioners to build a circular economy via reverse logistics (waste reduction, responsible consumption, and sustainable logistics). Our study also contributes to multiple United Nations Sustainable Development Goals (SDG 11, SDG 12, and SDG 13). © 2023 Informa UK Limited, trading as Taylor & Francis Group.",case study; circular economy; retailers; Reverse logistics; sustainable development goals (SDGs),,Article,Article in press,,Scopus,2-s2.0-85152413166
Agrawal S.; Kumar D.; Singh R.K.; Singh R.K.,"Agrawal, Saurabh (56565994300); Kumar, Dharmendra (57697257400); Singh, Rajesh Kumar (57219456056); Singh, Raj Kumar (57693475800)",56565994300; 57697257400; 57219456056; 57693475800,Coordination issues in managing the reverse supply chain: a systematic literature review and future research directions,2023,Benchmarking,30,4,,1259,1299,40,2,10.1108/BIJ-08-2021-0467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130295692&doi=10.1108%2fBIJ-08-2021-0467&partnerID=40&md5=66ffceb4a99fc15bb7cac909e4d4aed1,"Purpose: Reverse supply chain (RSC) is one of the ways to handle product returns efficiently. Recovery of residual value from product returns also helps in achieving sustainability. Its successful implementation requires coordination among all the channel members involved in the activities, from the acquisition to collection to the disposition of returned products. This article aims to review the literature about coordination issues in the RSC. Design/methodology/approach: A systematic literature review of 151 articles published during 2004–2021 is carried out. Theory, context and methodology (TCM) framework of the literature review is used to identify the research gaps for future research directions. Findings: This study identifies the characteristics of RSC coordination. It includes channel structures; coordination mechanisms; performance measuring parameters; the methodology applied and explored industries. The review shows that game-theoretical modeling in RSC coordination is the most commonly used method to coordinate the channels. It was found that issues like disruption, fairness and corporate social responsibility are not explored in-depth and offer much potential for future research. Originality/value: There are very limited studies on coordination issues in the RSC. The proposed articles add value by considering RSC issues from different strategic, government, consumers' behavior and functionality decision-making point of view. © 2022, Emerald Publishing Limited.",Coordination; Green supply chain; Remanufacturing; Reverse supply chain; Sustainability,,Review,Final,,Scopus,2-s2.0-85130295692
Qiu R.; Ma L.; Sun M.,"Qiu, Ruozhen (8326571000); Ma, Lin (57218989679); Sun, Minghe (7403181421)",8326571000; 57218989679; 7403181421,A robust omnichannel pricing and ordering optimization approach with return policies based on data-driven support vector clustering,2023,European Journal of Operational Research,305,3,,1337,1354,17,1,10.1016/j.ejor.2022.07.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136762399&doi=10.1016%2fj.ejor.2022.07.029&partnerID=40&md5=f8470f681fc5855a766067ad29d5cc97,"This work considers an omnichannel retailer selling a product with market demand uncertainties to customers in different regions through an e-store and multiple brick-and-mortar stores. The retailer also manages online product returns by selecting appropriate return policies. A robust omnichannel pricing and ordering optimization model is proposed with two, i.e., a full-refund and a no-refund, return policies. The online demand and the offline demand depend on the prices of the e-store and the brick-and-mortar stores, where the online demand also depends on the refund of the e-store. A linearization technique is adopted to deal with nonlinearity of the model. A data-driven robust optimization approach is used to construct uncertainty sets based on available historical data using support vector clustering to handle demand uncertainties. Furthermore, the proposed model is transformed into an approximate mixed integer linear programming model which can be solved by using commercial software. An electronics retailer in China is used as a case study to illustrate the effectiveness and practicality of the proposed model and the solution method. A comparison with the box uncertainty set reveals that the data-driven uncertainty set is less conservative and performs better by obtaining higher profit for the retailer. Furthermore, sensitive analysis results indicate that return policies and the return rate of the product affect the optimal pricing and ordering decisions and the total profit. © 2022 Elsevier B.V.",Data-driven robust optimization; Demand uncertainty; Omnichannel retailing; Pricing; Return policies,Costs; Integer programming; Mortar; Profitability; Sales; Support vector machines; Data driven; Data-driven robust optimization; Demand uncertainty; Omnichannel retailing; Optimization approach; Order optimizations; Return policy; Robust optimization; Support vector clustering; Uncertainty; Brick,Article,Final,,Scopus,2-s2.0-85136762399
